Power status;Alerts status;Meters status;Accounting status;In Contract;Connection type;Company;Printer;Printer's address;Manufacturer;Model;Serial;Site;Department;Contact;Asset number;Location;Days without meters;Zona;Provincia;Ciudad;Edificio;Tipo de unidad;Codigo de Red;NOTAS;EXCEPCIONES ALERTAS;Last meter
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303988;10.55.72.24;Kyocera;ECOSYS M3550idn;LSN7638079;1-VALLADOLID-VALLADOLID-JP-4700001;;983363193 - BELEN SAEZ FERNANDEZ 4700001 - belen.saez@correos.com - tecnologia.zona1@correos.com;;CODIGO DE RED:4700001/PERSONA DE CONTACTO:BELÉN SAEZ FDEZ / FINANZAS/DEPARTAMENTO:2ª PLANTA_FINANZAS/LOCALIZACION DESTINO:JEF._PROV._VALLADOLID/DIRECCION:PLAZA RINCONADA, S/N/LOCALIDAD:VALLADOLID/PROVINCIA:VALLADOLID;0;1;VALLADOLID;VALLADOLID;0;JP;4700001;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302635;10.57.207.171;Kyocera;ECOSYS M3550idn;LSN7636821;3-BARCELONA-BARCELONA-JP-0800001;;934868144 - RESPONSABLE DE RRHH- manuel.amaya@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:Jose Maria Sarasa/DEPARTAMENTO:RRHH - GESTION DE PERSONAL/LOCALIZACIÓN DESTINO:BARCELONA JP/DIRECCION:Plaza Antonio López s/n, 2ª planta/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;95;3;BARCELONA;BARCELONA;0;JP;800001;;;02/01/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0303804;10.55.32.11;Kyocera;ECOSYS P3055dn;VLW7548812;6-SEVILLA-SEVILLA-JP-4105896;;941286801 - JOSE Mª FIDALGO 2600001 - josemaria.fidalgo@correos.com;;Codigo de red:2600001/Persona de Contacto:Jose Mª Fidalgo/Departamento:Recursos Humanos/Localizacion Destino:JEF._PROV._LOGROÑO/Direccion:C/ ONCE DE JUNIO 1/Localidad:LOGROÑO/Provincia:LA RIOJA;14;2;LA RIOJA;LOGROÑO;0;JP;2600001;;;23/03/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0303803;10.55.32.10;Kyocera;ECOSYS P3055dn;VLW7549363;2-VIZCAYA-BILBAO-JP-4800001;;941286803 - JOSE Mª FIDALGO 2600001 - josemaria.fidalgo@correos.com;;Codigo de red:2600001/Persona de Contacto:Jose Mª Fidalgo/Departamento:Servicios Médicos/Localizacion Destino:JEF._PROV._LOGROÑO/Direccion:C/ ONCE DE JUNIO 1/Localidad:LOGROÑO/Provincia:LA RIOJA;53;2;LA RIOJA;LOGROÑO;0;JP;2600001;;;13/02/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303491;10.55.224.25;Kyocera;ECOSYS M3550idn;LSN7636465;4-MADRID-MADRID-CAM-2812796;;977254144 - ANGEL VELA 4300001 - jefedistribuciOn.tarragona@correos.com;;CODIGO DE RED:4300001/PERSONA DE CONTACTO:ÁNGEL VELA /DEPARTAMENTO:DISTRIBUCION/LOCALIZACION DESTINO:JP TARRAGONA/DIRECCION:PLAZA CORSINI S/N/LOCALIDAD:TARRAGONA/PROVINCIA:TARRAGONA;0;3;TARRAGONA;TARRAGONA;0;JP;4300001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312015;10.56.16.18;Kyocera;ECOSYS P3055dn;VLW7546245;5-MURCIA-MURCIA-JP-3000001;;968236903 - RAUL MARIN 3000001 - UR1.MURCIA@CORREOS.COM;;CODIGO DE RED:3000001/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:RRHH/LOCALIZACION DESTINO:JEF._PROV._MURCIA/DIRECCION:PLAZA CIRCULAR, S/N/LOCALIDAD:MURCIA/PROVINCIA:MURCIA;0;5;MURCIA;MURCIA;0;JP;3000001;;;06/04/2020
On;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312160;10.57.26.111;Kyocera;ECOSYS P3055dn;VLW7548804;4-MADRID-MADRID-CCP-2807896;;913964344 - SECRETARÍA CHAMARTIN 2807896 - secretariachamartin.madrid@correos.com;;CODIGO DE RED:2807896/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:CERTIFICADOS/LOCALIZACION DESTINO:JEFATURA_C.C.P._CHAMARTIN/DIRECCION:C/ HIEDRA S/N/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CCP;2807896;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0312106;10.57.26.107;Kyocera;ECOSYS P3055dn;VLW7548439;4-MADRID-MADRID-CCP-2807896;;913964309 - SECRETARÍA CHAMARTIN 2807896 - ;;CODIGO DE RED:2807896/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:CERTIFICADOS/LOCALIZACION DESTINO:JEFATURA_C.C.P._CHAMARTIN/DIRECCION:C/ HIEDRA S/N/LOCALIDAD:MADRID/PROVINCIA:MADRID;136;4;MADRID;MADRID;0;CCP;2807896;;;22/11/2019
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312159;10.57.26.117;Kyocera;ECOSYS P3055dn;VLW7548441;4-MADRID-MADRID-CCP-2807896;;913964344 - SECRETARÍA CHAMARTIN 2807896 - secretariachamartin.madrid@correos.com;;CODIGO DE RED:2807896/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:CERTIFICADOS/LOCALIZACION DESTINO:JEFATURA_C.C.P._CHAMARTIN/DIRECCION:C/ HIEDRA S/N/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CCP;2807896;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0312107;10.57.26.105;Kyocera;ECOSYS P3055dn;VLW7652378;4-MADRID-MADRID-CCP-2807896;;913964309 - SECRETARÍA CHAMARTIN 2807896 - nemesio.hidalgo@correos.com;;CODIGO DE RED:2807896/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:ALMACEN MATERIAL/LOCALIZACIÓN DESTINO:JEFATURA C.C.P. CHAMARTIN/DIRECCION:AVDA PIO XII, 108/LOCALIDAD:MADRID/PROVINCIA:MADRID;149;4;MADRID;MADRID;0;P2;2807896;;;09/11/2019
On;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312158;10.57.26.115;Kyocera;ECOSYS P3055dn;VLW7548805;4-MADRID-MADRID-CCP-2807896;;913964344 - SECRETARÍA CHAMARTIN 2807896 - secretariachamartin.madrid@correos.com;;CODIGO DE RED:2807896/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:CERTIFICADOS/LOCALIZACION DESTINO:JEFATURA_C.C.P._CHAMARTIN/DIRECCION:C/ HIEDRA S/N/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CCP;2807896;;;06/04/2020
On;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303641;10.55.248.54;Kyocera;TASKalfa 3252ci;W2S7623869;2-VIZCAYA-BILBAO-JP-4800001;;944709382 - JAVIER ALCORTA 4800001 - javier.alcorta@correos.com;;MFP/ErrorState/Details[4]/ErrorLevel;0;2;VIZCAYA;BILBAO;0;JP;4800001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303640;10.55.248.42;Kyocera;TASKalfa 3252ci;W2S7724856;2-VIZCAYA-BILBAO-JP-4800001;;944709300 - GLORIA VILLAR 4800001 - gloria.villar@correos.com;;Codigo de red:4800001/Persona de Contacto:Gloria Villar/Departamento:VARIOS ZONA/Localizacion Destino:JEF._PROV._BILBAO/Direccion:ALAMEDA URQUIJO, 19/Localidad:BILBAO/Provincia:VIZCAYA;0;2;VIZCAYA;BILBAO;0;JP;4800001;;;06/04/2020
On;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303642;10.55.248.53;Kyocera;TASKalfa 356ci;V7C7710484;2-VIZCAYA-BILBAO-JP-4800001;;944709382 - JAVIER ALCORTA 4800001 - javier.alcorta@correos.com;;Codigo de red:4800001/Persona de Contacto:Javier Alcorta/Departamento:VARIOS/Localizacion Destino:JEF._PROV._BILBAO/Direccion:ALAMEDA URQUIJO, 19/Localidad:BILBAO/Provincia:VIZCAYA;0;2;VIZCAYA;BILBAO;0;JP;4800001;;;06/04/2020
Off;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303637;10.55.248.39;Kyocera;ECOSYS M3550idn;LSN7841851;2-VIZCAYA-BILBAO-JP-4800001;;944709300 - GLORIA VILLAR 4800001 - gloria.villar@correos.com;;Codigo de red:4800001/Persona de Contacto:Gloria Villar/Departamento:DIRECC. ZONA/Localizacion Destino:JEF._PROV._BILBAO/Direccion:ALAMEDA URQUIJO, 19/Localidad:BILBAO/Provincia:VIZCAYA;3;2;VIZCAYA;BILBAO;0;JP;4800001;;;03/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302666;10.57.207.179;Kyocera;ECOSYS M3550idn;LSN7842802;3-BARCELONA-BARCELONA-JP-0800001;;934868132 - FERNANDO HERNANDEZ MARIN 0800001 - fernando.hernandez.marin@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:ALFONSO CID/DEPARTAMENTO:SALA APARATOS/LOCALIZACION DESTINO:SALA APARATOS/DIRECCION:C/ VIA LAYETANA, 1/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;61;3;BARCELONA;BARCELONA;0;JP;800001;;;05/02/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303571;10.55.144.22;Kyocera;ECOSYS P3055dn;VLW7549301;6-JAEN-JAEN-JP-2300001;;953247803 - Mª CARMEN SERRANO 2300001 - carmen.serrano.baena@correos.com;;CODIGO DE RED:2300001/PERSONA DE CONTACTO:Mª CARMEN SERRANO/DEPARTAMENTO:DISTRIBUCIÓN/LOCALIZACION DESTINO:JEF._PROV._JAÉN/DIRECCION:PLAZA DE LOS JARDINILLOS, S/N/LOCALIDAD:JAEN/PROVINCIA:JAEN;0;6;JAEN;JAEN;0;JP;2300001;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302668;10.57.207.181;Kyocera;ECOSYS M3550idn;LSN7842797;3-BARCELONA-BARCELONA-JP-0800001;;934868132 - FERNANDO HERNANDEZ MARIN 0800001 - fernando.hernandez.marin@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:Fernando Hernández Marín/DEPARTAMENTO:LOGISTICA - SALA APARATOS/LOCALIZACIÓN DESTINO:BARCELONA JP/DIRECCION:Plaza Antonio López s/n, 1ª planta/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;61;03;BARCELONA;BARCELONA;0;JP;800001;;;05/02/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0302642;10.57.207.190;Kyocera;ECOSYS M3550idn;LSN7842884;3-BARCELONA-BARCELONA-JP-0800001;;934868259 - ANA NUÑEZ 0800001 - ana.nunez@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:RESPONSABLE UNIDAD/DEPARTAMENTO:RELACIONES LABORALES 1ª PLANTA PUERTA VÍA LAYETANA/LOCALIZACION DESTINO:JP BARCELONA/DIRECCION:PLAZA ANTONIO LOPEZ S/N/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;0;3;BARCELONA;BARCELONA;0;JP;800001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303572;10.55.144.24;Kyocera;ECOSYS M3550idn;LSN7637860;6-JAEN-JAEN-JP-2300001;;953545948 - GABRIEL JIMENEZ 2300001 - gabriel.jimenez@correos.com;;CODIGO DE RED:2300001/PERSONA DE CONTACTO:GABRIEL JIMENEZ/DEPARTAMENTO:RR.HH./LOCALIZACION DESTINO:JEF._PROV._JAÉN/DIRECCION:PLAZA DE LOS JARDINILLOS, S/N/LOCALIDAD:JAEN/PROVINCIA:JAEN;0;6;JAEN;JAEN;0;JP;2300001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303590;10.55.36.31;Kyocera;ECOSYS P3055dn;VLW7651240;4-ALBACETE-ALBACETE-JP-200001;;967550405 - RESPONSABLE OFICINA 0200001 - Jefe_CTP.Albacete@correos.com;;CODIGO DE RED:200001/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:2ªPT/LOCALIZACION DESTINO:JEF._PROV._ALBACETE/DIRECCION:C/ROSARIO, 53/LOCALIDAD:ALBACETE/PROVINCIA:ALBACETE;0;4;ALBACETE;ALBACETE;0;JP;200001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0302643;10.57.207.188;Kyocera;ECOSYS M3550idn;LSN7842806;3-BARCELONA-BARCELONA-JP-0800001;;934868206 - DIEGO PALMA 0800001 - diego.palma@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:RESPONSABLE UNIDAD/DEPARTAMENTO:JEFATURA LOGÍSTICA  1ª PLANTA PUERTA 12/LOCALIZACION DESTINO:JP BARCELONA/DIRECCION:PLAZA ANTONIO LOPEZ S/N/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;0;3;BARCELONA;BARCELONA;0;JP;800001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303570;10.55.144.23;Kyocera;ECOSYS M3550idn;LSN7637856;6-JAEN-JAEN-JP-2300001;;953245973 - ILDEFONSO MOLINA 2300001 - idelfonso.molina@correos.com;;CODIGO DE RED:2300001/PERSONA DE CONTACTO:ILDEFONSO MOLINA/DEPARTAMENTO:COMERCIAL/LOCALIZACION DESTINO:JEF._PROV._JAÉN/DIRECCION:PLAZA DE LOS JARDINILLOS, S/N/LOCALIDAD:JAEN/PROVINCIA:JAEN;0;6;JAEN;JAEN;0;JP;2300001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303630;10.55.248.24;Kyocera;ECOSYS M3550idn;LSN7841853;2-VIZCAYA-BILBAO-JP-4800001;;944709442 - PILAR ROLLAN CAMPELO 4800001 - pilar.rollan@correos.com;;Codigo de red:4800001/Persona de Contacto:Pilar Rollán Campelo/Departamento:Habilitación/Localizacion Destino:JEF._PROV._BILBAO/Direccion:Alda Urquijo 19, 2ª planta/Localidad:BILBAO/Provincia:VIZCAYA;0;2;VIZCAYA;BILBAO;0;JP;4800001;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302641;10.57.207.185;Kyocera;ECOSYS M3550idn;LSN7842883;3-BARCELONA-BARCELONA-JP-0800001;;934868110 - SANTIAGO CABEZAS 0800001 - santiago.cabezas@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:Santiago Cabezas/DEPARTAMENTO:TECNOLOGÍA INFORMÁTICA/LOCALIZACIÓN DESTINO:BARCELONA JP/DIRECCION:Plaza Antonio López s/n, 1ª planta, Informatica/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;45;03;BARCELONA;BARCELONA;0;JP;800001;;;21/02/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0302633;10.55.224.29;Kyocera;ECOSYS M3550idn;LSN7842811;3-TARRAGONA-TARRAGONA-JP-4300001;;977251944 - HELIODORO DEL CASTILLO 4300001 - heliodoro.delcastillo@correos.com;;CODIGO DE RED:4300001/PERSONA DE CONTACTO:HELIODORO DEL CASTILLO/DEPARTAMENTO: DESPACHO 2ª PLANTA/LOCALIZACION DESTINO:JP_TARRAGONA/DIRECCION:PÇA CORSINI S/N/LOCALIDAD:TARRAGONA/PROVINCIA:TARRAGONA;0;03;TARRAGONA;TARRAGONA;0;JP;4300001;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302661;10.57.207.173;Kyocera;ECOSYS M3550idn;LSN7842812;3-BARCELONA-BARCELONA-JP-0800001;;934868132 - FERNANDO HERNANDEZ MARIN 0800001 - fernando.hernandez.marin@correos.com;;CODIGO DE RED:0800001/PERSONA DE CONTACTO:ALFONSO CID/DEPARTAMENTO:SALA APARATOS/LOCALIZACION DESTINO:SALA APARATOS/DIRECCION:C/ VIA LAYETANA, 1/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;61;3;BARCELONA;BARCELONA;0;JP;800001;;;05/02/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302662;10.57.207.176;Kyocera;ECOSYS M3550idn;LSN7842807;3-BARCELONA-BARCELONA-JP-0800001;;934868132 - FERNANDO HERNANDEZ MARIN 0800001 - fernando.hernandez.marin@correos.com;;Codigo de red:800001/Persona de Contacto:SALA DE APARATOS/Departamento:1ª Planta puerta D/Localizacion destino:JP Barcelona/Direccion:Vía Layetana, 1/Localidad:Barcelona/Provincia:Barcelona;236;3;BARCELONA;BARCELONA;0;JP;800001;;;14/08/2019
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0302644;10.57.207.189;Kyocera;ECOSYS M3550idn;LSN7842808;3-BARCELONA-BARCELONA-JP-0800001;;934868206 - DIEGO PALMA 0800001 - diego.palma@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:RESPONSABLE UNIDAD/DEPARTAMENTO:LOGÍSTICA JEFES SECTOR 1ª PLANTA PUERTA 9/LOCALIZACION DESTINO:JP BARCELONA/DIRECCION:PLAZA ANTONIO LOPEZ S/N/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;0;3;BARCELONA;BARCELONA;0;JP;800001;;;06/04/2020
On;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303621;10.55.177.53;Kyocera;TASKalfa 356ci;V7C7710508;6-CORDOBA-CORDOBA-CTP-1409394;;957496334 - ILDEFONSO REYES 1409394 - ildefonso.reyes@correos.com;;CODIGO DE RED:1409394/PERSONA DE CONTACTO:ILDEFONSO REYES/DEPARTAMENTO:OFICINAS Y AUDITORIA/LOCALIZACION DESTINO:CTP CÓRDOBA /DIRECCION:AVDA. LA TORRECILLA, S/N. POLÍGONO LA TORRECILLA/LOCALIDAD:CORDOBA/PROVINCIA:CORDOBA;0;6;CORDOBA;CORDOBA;0;CTP;1409394;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302667;10.57.207.180;Kyocera;ECOSYS M3550idn;LSN7842791;3-BARCELONA-BARCELONA-JP - 0805996;;934868255 - JEFE VENTAS ZONA 3 - santiago.fernandez.guerreiro@correos.com;;CODIGO DE RED:0805996/PERSONA DE CONTACTO:JEFE ZONA VENTAS 3/DEPARTAMENTO:JEFATURA DE COMERCIAL/LOCALIZACIÓN DESTINO:JP BARCELONA/DIRECCION:VIA LAYETANA 1, PL 2/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;21;3;BARCELONA;BARCELONA;0;JP;0805996;;;16/03/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303583;10.55.240.19;Kyocera;ECOSYS P3055dn;VLW7650366;7-LAS PALMAS-PALMAS DE GRAN CANARIA-JP-3500001;;928367607 - RESPONSABLE OFICINA 3500001 - ;;Codigo de red:3500001/Persona de Contacto:RESPONSABLE_OFICINA/Departamento:ADMISION/Localizacion Destino:JEF._PROV._LAS_PALMAS/Direccion:AV PRIMERO DE MAYO, 62/Localidad:PALMAS_DE_GRAN_CANARIA_(LAS)/Provincia:LAS PALMAS;0;7;LAS PALMAS;PALMAS DE GRAN CANARIA;0;JP;3500001;;;06/04/2020
